checkpoint,curve,layer,value
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,13,0.9769965277777778
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,14,0.9826388888888888
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,15,0.9848090277777778
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,16,0.98828125
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,17,0.9878472222222222
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,18,0.9891493055555556
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,19,0.9904513888888888
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,20,0.9861111111111112
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,21,0.9887152777777778
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,22,0.9852430555555556
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,23,0.9991319444444444
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,24,0.9973958333333334
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,25,0.9986979166666666
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,26,0.9995659722222222
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,27,1.0
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,28,1.0
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,29,1.0
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,30,0.9986979166666666
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,31,0.9991319444444444
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,32,0.9991319444444444
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,33,0.9991319444444444
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,34,0.9973958333333334
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,35,0.9978298611111112
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,auroc_by_layer,36,0.98046875
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,0,
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,1,2.714460637193835
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,2,4.043652542319888
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,3,5.166258389272881
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,4,5.081665644943735
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,5,4.105056292465908
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,6,3.4605561668029963
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,7,3.2275578418233346
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,8,3.5088508394001496
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,9,3.8666555620803704
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,10,3.7809311809317125
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,11,3.7623315902914887
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,12,3.65927513107652
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,13,3.392683569254918
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,14,3.665506928143263
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,15,3.68890544913671
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,16,3.9870233928787813
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,17,4.053634594911609
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,18,3.8792205497104666
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,19,3.7263322377948684
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,20,3.4122562776714362
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,21,3.427750005626635
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,22,3.240800707357396
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,23,4.7578799527382545
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,24,4.802340071395683
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,25,4.951579392331604
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,26,4.927345441385523
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,27,4.880021042500117
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,28,4.97522126638007
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,29,5.013093603841252
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,30,4.462245122656738
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,31,4.44644507962378
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,32,4.691873380311505
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,33,4.672428424931255
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,34,4.35584965224221
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,35,4.422555339505613
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,cohen_by_layer,36,3.30667539507452
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,0,0.9728282020677871
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,1,1.4573337289070798
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,2,1.6248828603835466
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,3,1.2614470484192268
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,4,1.2052302791462235
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,5,1.1908781962107873
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,6,1.0260267577931235
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,7,1.0980648851817738
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,8,1.0845021096708611
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,9,1.0649746168671363
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,10,1.087498001876722
CohenQu--Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,x2_wm_curve,11,1.0851576357185024
