source,checkpoint,arm,s_key,s_layer,start_d,start_d_ci,fixed_spearman,fixed_spearman_ci,fixed_ratio_normgap,fixed_ratio_ci,fixed_raw_ratio,own_axis_d_ratio,cos_start_end,verdict
Lane B (band-limited 13-21 + r_ablit layer),L3,item|EARLY|0.00,u_13,13.0,1.0485155210313695,,-0.33333333333333326,"[-0.44303030303030294, -0.1515151515151515]",1.608253353663207,"[1.529132870874842, 1.6897196251968136]",,1.4682263913546814,"[0.9999999403953552, 0.24415269494056702]",LAYER_SPECIFIC_DIRECTION
Lane B (band-limited 13-21 + r_ablit layer),L3,item|LATE|0.00,u_13,13.0,0.766263363857407,,0.17575757575757575,"[-0.13939393939393938, 0.34545454545454546]",2.1371753019126225,"[1.9651852937965497, 2.321185752094554]",,1.4340597151453636,"[0.9999999403953552, 0.3427135646343231]",LAYER_SPECIFIC_DIRECTION
Lane B (band-limited 13-21 + r_ablit layer),L3,item|PROMPT|1.00,u_13,13.0,1.828747416624116,,-0.8666666666666665,"[-0.9151515151515152, -0.8424242424242423]",1.0,"[1.0, 1.0]",,2.147170861390043,"[0.9999998807907104, 0.04073789343237877]",NO_CLEAR_PATTERN
Lane B (band-limited 13-21 + r_ablit layer),L3,item|EARLY|1.00,u_13,13.0,1.0495481083946483,,-0.6727272727272726,"[-0.7333333333333332, -0.5757575757575757]",1.3873186110947366,"[1.3279458793712193, 1.4515221682515609]",,1.3704413968229356,"[1.0, 0.2625516653060913]",LAYER_SPECIFIC_DIRECTION
Lane B (band-limited 13-21 + r_ablit layer),L3,item|LATE|1.00,u_13,13.0,0.7693598533794919,,-0.18787878787878787,"[-0.48515151515151506, 0.17575757575757575]",2.0311100814593583,"[1.8653967056872176, 2.206225918656053]",,1.4616365873672077,"[1.0, 0.3277127146720886]",LAYER_SPECIFIC_DIRECTION
Lane B (band-limited 13-21 + r_ablit layer),L3,damage|lastp|0.00,u_13,13.0,2.7658624122648217,,-0.9636363636363635,"[-0.9636363636363635, -0.9636363636363635]",1.0,"[1.0, 1.0]",,3.3350074747227123,"[1.0, 0.04227256774902344]",NO_CLEAR_PATTERN
Lane B (band-limited 13-21 + r_ablit layer),L3,damage|lastp|1.00,u_13,13.0,2.7838166597089398,,-0.9636363636363635,"[-0.9636363636363635, -0.9636363636363635]",1.0,"[1.0, 1.0]",,2.488369463754523,"[1.0000001192092896, 0.04518511891365051]",NO_CLEAR_PATTERN
Lane B (band-limited 13-21 + r_ablit layer),L3,fit_ablit|lastp|0.00,u_13,13.0,2.824591436961125,,-0.9636363636363635,"[-0.9636363636363635, -0.9636363636363635]",1.0,"[1.0, 1.0]",,4.040331917900518,"[1.0, 0.033434197306632996]",NO_CLEAR_PATTERN
Lane B (band-limited 13-21 + r_ablit layer),L3,fit_ablit|lastp|1.00,u_13,13.0,2.8438214664674533,,-0.9636363636363635,"[-0.9636363636363635, -0.9636363636363635]",1.0,"[1.0, 1.0]",,2.801694382813756,"[1.0, 0.031148197129368782]",NO_CLEAR_PATTERN
Lane B: gap along the STORED late-fit u (iter-1 '138x' claim),L3,fit_ablit,u@23,,,,,,,,265.27770118079246,,,"GROWTH ALONG A LATE-FIT AXIS (raw gap, not norm-controlled; axis fitted at the end layer)"
Lane B: gap along the STORED late-fit u (iter-1 '138x' claim),L3,damage,u@23,,,,,,,,250.49183331608802,,,"GROWTH ALONG A LATE-FIT AXIS (raw gap, not norm-controlled; axis fitted at the end layer)"
Lane B (band-limited 13-21 + r_ablit layer),L4,item|PROMPT|0.00,u_13,13.0,1.321377319491283,,-0.9393939393939393,"[-0.9636363636363635, -0.8303030303030302]",1.9488767373918467,"[1.7641303579017853, 2.1845521562670065]",,2.4272713039059175,"[0.9999999403953552, 0.10273779928684235]",LAYER_SPECIFIC_DIRECTION
Lane B (band-limited 13-21 + r_ablit layer),L4,item|EARLY|0.00,u_13,13.0,0.9273690754250818,,-0.9878787878787878,"[-0.9999999999999999, -0.9515151515151514]",2.657680761625952,"[2.459873182020318, 2.8549208033901463]",,1.3297529498395204,"[0.9999999403953552, 0.40651747584342957]",NO_CLEAR_PATTERN
Lane B (band-limited 13-21 + r_ablit layer),L4,item|LATE|0.00,u_13,13.0,0.6066433477309038,,-0.7575757575757575,"[-0.9515151515151514, -0.7454545454545454]",3.2369833330446167,"[2.949414260792236, 3.507316401644328]",,1.46136359721192,"[0.9999998807907104, 0.3568466305732727]",LAYER_SPECIFIC_DIRECTION
Lane B (band-limited 13-21 + r_ablit layer),L4,item|PROMPT|1.00,u_13,13.0,1.296458007223434,,-0.9878787878787878,"[-0.9878787878787878, -0.9636363636363635]",1.6612257286878507,"[1.495424624550263, 1.8541830215439814]",,2.3759298810428837,"[1.0, 0.12191757559776306]",LAYER_SPECIFIC_DIRECTION
Lane B (band-limited 13-21 + r_ablit layer),L4,item|EARLY|1.00,u_13,13.0,0.9228478074505267,,-0.9999999999999999,"[-0.9999999999999999, -0.9999999999999999]",2.187960589425282,"[2.022027202653181, 2.387865493468647]",,1.2900917263827603,"[0.9999998807907104, 0.38985997438430786]",NO_CLEAR_PATTERN
Lane B (band-limited 13-21 + r_ablit layer),L4,item|LATE|1.00,u_13,13.0,0.6127702348089665,,-0.8303030303030302,"[-0.9878787878787878, -0.7454545454545454]",2.7658440964477573,"[2.509586271616557, 3.023722986777623]",,1.3292061237353558,"[1.0, 0.3533670902252197]",LAYER_SPECIFIC_DIRECTION
Lane B (band-limited 13-21 + r_ablit layer),L4,damage|lastp|0.00,u_13,13.0,1.9988291684800148,,-0.9999999999999999,"[-0.9999999999999999, -0.9999999999999999]",1.0,"[1.0, 1.0]",,2.910110363728732,"[1.0, 0.05770358443260193]",NO_CLEAR_PATTERN
Lane B (band-limited 13-21 + r_ablit layer),L4,damage|lastp|1.00,u_13,13.0,2.155159888165058,,-0.9999999999999999,"[-0.9999999999999999, -0.9999999999999999]",1.0,"[1.0, 1.0]",,2.1291158876547907,"[1.0000001192092896, 0.07331231236457825]",NO_CLEAR_PATTERN
Lane B (band-limited 13-21 + r_ablit layer),L4,fit_ablit|lastp|0.00,u_13,13.0,1.8793849617119804,,-0.9999999999999999,"[-0.9999999999999999, -0.9999999999999999]",1.0,"[1.0, 1.0]",,3.051635273933797,"[0.9999999403953552, 0.05436643213033676]",NO_CLEAR_PATTERN
Lane B (band-limited 13-21 + r_ablit layer),L4,fit_ablit|lastp|1.00,u_13,13.0,2.006905313400764,,-0.9999999999999999,"[-0.9999999999999999, -0.9999999999999999]",1.0,"[1.0, 1.0]",,2.1965114155588834,"[0.9999999403953552, 0.08066917955875397]",NO_CLEAR_PATTERN
Lane B: gap along the STORED late-fit u (iter-1 '138x' claim),L4,fit_ablit,u@29,,,,,,,,249.5403271127178,,,"GROWTH ALONG A LATE-FIT AXIS (raw gap, not norm-controlled; axis fitted at the end layer)"
Lane B: gap along the STORED late-fit u (iter-1 '138x' claim),L4,damage,u@29,,,,,,,,247.71599002506494,,,"GROWTH ALONG A LATE-FIT AXIS (raw gap, not norm-controlled; axis fitted at the end layer)"
