readout,n_checkpoints,spearman_with_BL1_hard,p,partial_spearman_with_HC_given_BL1,spearman_with_HC,n_with_HC
heldout_d_peak,25,0.7669230769230769,7.751461020916544e-06,-0.46376012779029485,-0.6296284057561882,23
k16_auroc,25,0.7461538461538462,1.8496867100782754e-05,-0.3897742498970718,-0.5862057570833477,23
R_TPR5_registered,25,0.7905929309459935,2.5666472988669153e-06,0.01725546322024214,-0.3690172214345087,23
peak_drive,25,0.7838461538461537,3.56594268217995e-06,-0.32726018764097525,-0.5554059713967979,23
onset_hard_depth,25,-0.3298578888269767,0.10733395178895383,0.27850788030436874,0.4431086587352467,23
B3_fisher,25,0.7153846153846154,5.829401700188132e-05,-0.46849756116993757,-0.6321529783534465,23
