lineage,repo,r_ablit_layer,n_npz_files,lastp_layers_stored,win_layers_stored,group_rows_match_expected
L1,Qwen/Qwen3-4B-Base,29,25,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 29]","[13, 14, 15, 16, 17, 18, 19, 20, 21, 29]",True
L2,Qwen/Qwen3-4B,22,25,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 22]","[13, 14, 15, 16, 17, 18, 19, 20, 21, 22]",True
L3,Qwen/Qwen3-4B-SafeRL,23,25,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 23]","[13, 14, 15, 16, 17, 18, 19, 20, 21, 23]",True
L4,CohenQu/Qwen3-4B-Base_HintGen-STaR.03.01_1e-6,29,25,"[13, 14, 15, 16, 17, 18, 19, 20, 21, 29]","[13, 14, 15, 16, 17, 18, 19, 20, 21, 29]",True
